Acerola Jackfruit | 2749 S DURIAN ST 88895 | 413806289 | 1998 8 22 | 439838 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Chicken Amazing | 8053 S GRAPES ST 11259 | 756529778 | 1998 8 22 | 764511 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Chicken Chicken | 9991 S AVOCADO ST 14228 | 308544410 | 1998 8 22 | 306803 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Salt Pomegaranate | 9309 S CRANBERRIES ST 21514 | 573765632 | 1998 8 22 | 407366 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Salt Carambola | 4597 S BEAUTIFUL ST 18502 | 546305991 | 1998 8 22 | 423992 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Loquat Guava | 4442 S RASPBERRIES ST 59277 | 239816828 | 1998 8 22 | 723579 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Cherimoya Apple | 1642 S STRAWBERRIES ST 25081 | 376075526 | 1998 8 22 | 191779 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Happy Carambola | 6551 S BANANA ST 25239 | 381438975 | 1998 8 22 | 282578 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Cherimoya Pepper | 4278 S ACEROLA ST 37595 | 421066406 | 1998 8 22 | 355876 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Grapes Raspberries | 9498 S GRAPES ST 62780 | 753247958 | 1998 8 22 | 937404 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Breadfruit Elderberries | 8064 S LEMON ST 72796 | 180317862 | 1998 8 22 | 546423 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Carambola Watermelon | 7652 S COOL ST 17727 | 217289951 | 1998 8 22 | 932887 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Cantaloupe Jackfruit | 4733 S WATERMELON ST 43086 | 955167934 | 1998 8 22 | 110490 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Soup Amazing | 4906 S CRANBERRIES ST 23683 | 690919630 | 1998 8 22 | 800861 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Kumquat Happy | 8843 S CANTALOUPE ST 96158 | 109336548 | 1998 8 22 | 253393 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Carambola Loquat | 5513 S COOL ST 90501 | 862414336 | 1998 8 22 | 387630 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Amazing Jujube | 2925 S BEAN ST 65120 | 266776345 | 1998 8 22 | 421643 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Longan Raspberries | 2883 S NICE ST 88635 | 541170657 | 1998 8 22 | 224348 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Apple Apple | 3565 S AWESOME ST 79634 | 635685509 | 1998 8 22 | 184963 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
Loquat Feijoa | 8879 S CRANBERRIES ST 28818 | 774938646 | 1998 8 22 | 308727 | 2017 8 25 | 2025 5 17 | 84 | 84 | 12
